"Site ID","State","Elevation","Landcover Type"
"p681","ID","1976.1","Grassland"
"p682","WY","2324.2","Evergreen_Needleleaf"
"p683","ID","2066.4","Open_Shrubland"
"p684","ID","1693.9","CropLands"
"p685","ID","1607.5","Closed_Shrubland"
"p686","ID","2166.0","Mixed_Forest"
"p706","MT","1810.7","Grassland"
"p707","MT","2292.8","Closed_Shrubland"
"p710","WY","2173.1","Evergreen_Needleleaf"
"p717","WY","2270.2","Grassland"
"p719","MT","1706.3","Grassland"
"p722","MT","1452.8","Grassland"
"p738","OR","1724.0","Grassland"
"p739","OR","1378.0","Grassland"
"p775","IN","182.6","-999"
"p783","UT","1820.5","Grassland"
"p802","ND","573.2",""
"p803","WI","415.2",""
"pfr2","AK","512.3",""
"prds","Alberta","1248.4","Unknown"
"regl","MN","354.2","-999"
"reso","Nunavut","19.9","Unknown"
"rn86","UT","2590.7","-999"
"roth","MN","345.2","-999"
"sakc","MN","354.2","-999"
"sc00","WA","1178.4","Grassland"
"sg27","AK","9.4","Tundra"
"shr1","NM","1631.5","Open_Shrubland"
"spic","UT","1670.4","Open_Shrubland"
"stvn","MN","217.1","-999"
"vern","MN","385.9","-999"
"vis0","","79.8",""
"wlwy","WY","2643.2","Evergreen_Needl"
"yfb1","Nunavut","10.0","Unknown"
